,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
WestBromwich_6303,42,12,17,6,7,7,2,39,18,2,4,13,8,26,374,74
WestHamUnited_6303,46,12,14,6,5,4,5,34,18,1,3,42,8,20,361,75
ManchesterCity_6303,67,6,23,7,10,7,0,21,10,0,6,27,11,27,713,90
Middlesbrough_6303,56,9,12,5,4,4,0,49,31,2,3,16,8,21,453,82
StokeCity_6303,44,7,9,4,4,5,0,29,12,2,1,26,12,22,369,75
BournemouthAFC_6303,51,7,13,1,5,4,2,20,8,3,6,34,6,26,539,86
SunderlandA.F.C_6304,30,14,9,4,3,4,1,31,12,6,2,28,10,17,233,68
Everton_6304,60,8,12,7,1,4,2,34,17,2,4,29,13,32,594,81
CrystalPalace_6305,28,11,17,6,7,5,0,38,17,3,4,43,14,14,230,67
TottenhamHotspur_6310,69,8,24,14,1,13,0,24,15,1,9,17,9,26,655,89
Watford_6310,53,8,15,7,6,6,None,44,21,4,2,21,14,19,444,78
StokeCity_6310,45,12,14,4,6,3,0,23,15,2,4,27,12,24,361,73
SunderlandA.F.C_6310,47,14,14,4,6,7,1,22,10,1,4,27,6,23,360,78
CrystalPalace_6310,57,10,15,4,6,8,0,49,28,0,5,30,12,34,411,74
Everton_6310,63,15,30,7,9,6,2,40,16,5,13,26,7,17,518,84
Southampton_6310,41,9,8,1,4,4,3,18,10,2,3,29,6,19,434,79
WestBromwich_6311,36,15,8,2,5,4,3,45,22,1,1,30,9,30,312,68
ManchesterUnited_6311,46,16,9,3,6,1,3,24,14,0,0,35,9,15,416,77
Middlesbrough_6312,35,11,13,5,6,2,2,50,24,2,2,26,14,20,308,70
BournemouthAFC_6317,68,4,20,10,7,4,0,23,10,2,3,28,13,24,604,90
HullCity_6317,34,10,9,3,3,4,3,30,16,2,2,28,7,15,303,70
SwanseaCity_6317,46,5,10,6,2,11,2,25,10,3,2,40,4,21,364,82
WestHamUnited_6317,41,9,15,3,5,8,2,31,18,0,7,25,13,18,342,75
Burnley_6318,46,17,8,0,4,3,2,33,18,4,4,45,8,25,382,71
Liverpool_6318,72,8,18,5,7,4,1,36,14,1,6,36,15,28,630,83
Chelsea_6320,48,13,17,7,5,6,2,23,16,2,5,22,9,22,478,81
Arsenal_6341,63,15,37,13,10,17,4,25,18,2,13,19,13,20,545,88
ManchesterCity_6341,71,8,21,10,9,7,1,21,15,1,2,33,14,21,686,88
LeicesterCity_6343,37,11,12,5,3,4,3,25,12,6,4,45,11,24,321,72
Southampton_6324,52,9,11,2,3,6,0,30,12,1,6,29,10,26,433,77
StokeCity_6324,56,12,19,4,7,5,1,42,21,4,8,30,10,13,504,79
SunderlandA.F.C_6324,41,13,17,5,9,6,3,33,18,6,3,32,7,19,336,75
WestBromwich_6324,55,14,16,4,7,5,2,45,32,0,5,22,8,21,393,75
CrystalPalace_6324,64,11,15,5,6,14,2,55,25,1,4,11,18,38,460,75
ManchesterUnited_6325,55,11,12,6,5,5,2,27,8,3,1,24,10,15,519,85
Middlesbrough_6325,32,9,14,6,6,4,4,30,13,2,2,28,12,13,257,68
Everton_6325,50,13,12,4,6,2,3,29,13,2,2,40,9,15,424,78
TottenhamHotspur_6325,51,7,21,11,6,14,1,24,13,4,3,24,11,24,415,79
Watford_6326,40,11,10,2,4,3,3,47,20,7,3,36,11,19,355,72
WestHamUnited_6330,32,8,13,5,7,3,4,32,15,5,1,25,6,23,273,67
ManchesterCity_6331,69,12,27,12,10,9,1,26,14,2,4,26,21,13,611,88
BournemouthAFC_6331,57,10,13,2,7,0,2,31,14,2,3,20,8,15,512,86
Burnley_6331,55,9,14,4,5,5,1,53,22,1,5,18,4,19,382,70
HullCity_6331,59,10,16,6,5,7,3,28,8,3,5,23,4,18,451,79
LeicesterCity_6331,42,7,11,5,3,10,None,46,24,7,3,34,5,14,335,73
SwanseaCity_6331,38,5,10,4,2,9,None,40,20,2,3,30,5,19,340,77
Liverpool_6332,65,9,17,8,4,3,1,27,15,0,5,16,9,32,600,83
Arsenal_6332,50,14,9,4,1,5,1,18,7,4,4,23,12,14,525,87
Chelsea_6333,56,8,22,7,11,8,0,19,7,1,3,20,14,8,619,86
Everton_6337,63,7,15,6,4,9,0,56,31,2,5,21,7,21,540,83
WestBromwich_6337,32,13,7,2,2,5,3,28,14,4,3,25,7,14,263,75
ManchesterCity_6338,66,12,18,6,5,9,3,25,18,3,7,19,9,25,542,85
Middlesbrough_6338,42,19,13,3,4,6,3,46,21,2,6,16,9,15,365,77
SunderlandA.F.C_6338,53,13,13,4,6,8,4,24,8,1,3,21,8,26,440,82
