,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
HamburgerSV_6311,46,15,6,4,1,3,1,49,21,3,1,24,7,30,400,66
Schalke_6311,69,14,26,8,13,9,3,57,30,3,5,15,13,22,495,81
TSGHoffenheim_6316,63,11,11,6,3,4,0,20,9,5,2,14,6,31,528,83
Darmstadt_6317,45,18,9,4,4,6,2,50,25,5,1,34,3,27,320,59
VfLWolfsburg_6317,49,18,11,2,3,2,5,26,12,4,5,20,10,23,468,81
Augsburg_6317,26,8,10,4,3,2,1,37,18,4,3,38,6,21,247,57
FSVMainz_6317,25,6,10,5,2,2,1,35,10,4,3,40,7,11,256,64
WerderBremen_6317,52,11,9,5,4,2,2,53,28,3,0,15,3,16,424,73
BorussiaDortmund_6317,55,13,13,6,4,4,3,33,11,1,2,17,7,21,600,83
BayerLeverkusen_6318,58,13,12,4,7,5,2,31,17,3,0,31,10,30,570,82
RBLeipzig_6318,52,21,9,1,6,5,2,43,23,None,2,23,8,20,418,76
Schalke_6323,53,10,12,8,1,3,0,18,10,3,3,41,7,20,479,82
Ingolstadt_6324,32,16,6,0,4,3,6,49,19,3,2,43,5,21,245,51
SCFreiburg_6324,58,15,9,4,4,6,0,53,22,1,1,16,6,19,467,81
HerthaBerlin_6324,58,17,10,2,7,2,1,40,16,2,1,23,7,21,638,84
BorussiaMonchengladbach_6324,46,15,13,5,5,3,1,34,21,7,3,24,13,23,398,76
FCKoln_6324,28,13,6,1,2,0,2,41,17,4,3,39,7,18,264,67
BayernMunchen_6324,61,10,19,9,6,4,0,21,9,3,2,19,10,16,601,88
HamburgerSV_6325,44,16,9,4,3,4,4,36,17,5,2,21,1,25,296,60
EintrachtFrankfurt_6325,29,18,4,2,1,4,3,19,9,0,1,34,7,15,246,64
WerderBremen_6330,64,10,11,4,6,1,2,47,26,5,1,17,9,32,572,83
VfLWolfsburg_6331,49,14,7,3,4,4,2,38,27,2,None,27,3,29,455,78
Darmstadt_6331,33,7,13,3,7,7,1,21,11,7,3,39,3,10,284,73
TSGHoffenheim_6331,58,11,10,5,4,2,2,18,5,2,1,26,6,18,558,84
Augsburg_6331,34,15,11,4,3,5,2,26,13,4,4,29,3,18,310,69
BayerLeverkusen_6331,50,12,12,6,4,6,3,50,23,1,2,26,7,32,342,70
RBLeipzig_6331,53,15,14,8,6,8,3,39,14,1,0,29,7,15,488,78
FSVMainz_6332,52,17,13,6,3,3,1,88,41,2,4,25,13,33,324,59
Schalke_6332,60,13,14,3,7,4,2,23,13,3,4,31,9,23,587,86
HerthaBerlin_6338,39,14,17,5,10,6,0,52,25,2,1,24,13,16,295,68
BorussiaMonchengladbach_6338,57,12,15,6,4,7,1,21,8,5,4,27,4,27,545,85
TSGHoffenheim_6338,51,14,16,9,5,4,1,24,13,4,2,13,12,17,495,85
FCKoln_6338,34,12,7,4,3,3,2,51,26,7,0,40,10,23,286,62
Ingolstadt_6338,46,27,23,9,10,3,3,70,44,3,4,22,6,25,304,65
EintrachtFrankfurt_6338,36,22,6,4,2,0,4,33,14,4,0,23,6,14,262,70
BorussiaDortmund_6338,77,7,15,5,7,3,1,28,15,2,3,10,15,23,736,87
HamburgerSV_6338,50,15,18,4,9,7,1,48,24,0,5,33,6,34,381,71
BayernMunchen_6338,61,11,22,9,8,6,5,21,7,2,3,28,10,25,558,86
BayerLeverkusen_6345,50,13,17,11,3,6,1,30,17,3,2,24,9,14,470,84
SCFreiburg_6345,34,10,19,8,5,7,0,26,14,7,6,31,6,14,306,73
Schalke_6345,50,11,9,3,3,6,1,39,23,7,3,26,6,21,419,74
Darmstadt_6345,38,8,13,4,5,3,0,34,12,8,4,45,20,17,394,81
FSVMainz_6345,54,17,5,0,2,5,1,36,19,2,3,23,5,15,421,78
WerderBremen_6345,37,17,11,5,5,3,3,35,21,7,1,22,6,18,344,71
RBLeipzig_6345,58,17,8,5,1,3,2,49,25,1,2,33,18,32,522,78
Augsburg_6345,24,13,8,2,3,4,1,25,5,9,3,23,2,22,227,62
VfLWolfsburg_6345,51,18,12,5,3,8,3,54,27,1,4,33,9,32,345,57
