,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Montpellier_5402,46,11,10,2,6,6,3,28,12,6,2,27,8,17,294,77
Lens_5407,28,10,7,2,4,2,2,25,8,4,1,34,3,26,239,64
Bordeaux_5408,39,11,8,1,4,4,0,18,7,2,3,33,10,10,370,81
Nantes_5408,44,16,14,7,7,4,2,60,31,0,0,20,9,33,366,72
Montpellier_5408,44,12,13,5,4,6,0,29,9,0,4,28,7,37,345,70
Monaco_5408,50,19,17,8,8,5,2,32,22,4,1,26,7,24,352,69
Lorient_5408,51,15,8,2,5,4,3,32,17,3,1,32,10,39,485,81
Lille_5409,47,6,7,3,3,4,2,32,15,4,1,22,11,31,375,79
Nice_5409,52,15,13,10,3,7,1,24,11,3,0,31,10,17,422,81
Metz_5409,36,16,8,1,5,1,2,24,6,4,2,36,2,21,250,56
Marseille_5409,52,19,11,4,5,3,3,37,21,4,2,25,15,21,384,84
Reims_5414,50,15,7,1,6,5,2,24,10,4,0,35,6,27,461,77
ParisSaintGermain_5415,54,17,12,8,4,4,0,21,7,4,0,22,6,30,505,83
EvianThononGaillard_5415,52,18,7,1,4,5,1,41,20,4,2,35,8,22,385,65
SaintEtienne_5415,45,13,7,3,1,7,2,22,8,7,3,24,7,24,316,78
Caen_5415,61,6,12,3,7,5,0,43,19,1,2,32,11,36,390,71
Bastia_5415,57,9,3,2,1,5,1,27,14,2,0,13,6,31,396,81
Lyon_5415,57,19,16,8,5,5,2,24,10,2,3,22,13,23,557,87
Rennes_5416,46,16,2,1,0,2,3,45,27,3,1,19,2,22,290,74
Toulouse_5416,54,24,10,2,5,9,4,48,23,1,3,15,5,22,435,74
Lens_5416,44,16,14,3,7,2,1,31,16,4,4,43,15,15,307,78
Lorient_5421,48,12,6,2,3,3,3,33,16,2,1,24,6,30,444,76
Bordeaux_5422,48,10,11,3,8,2,3,39,17,1,0,23,9,17,329,76
Nice_5422,53,17,8,4,4,5,3,45,19,1,0,27,12,33,369,73
Nantes_5422,43,12,7,3,2,1,3,57,22,4,2,29,13,29,360,67
Montpellier_5422,52,17,7,1,5,5,3,47,22,3,1,26,11,23,353,67
Metz_5422,50,18,12,2,5,2,1,34,22,1,5,20,6,33,367,68
Guingamp_5423,39,9,11,5,5,3,1,20,10,3,1,38,3,21,269,77
Lille_5423,44,16,9,2,7,3,3,18,9,9,0,21,2,25,400,80
Monaco_5423,43,19,6,2,2,1,4,16,13,2,2,31,5,21,367,69
Marseille_5423,53,12,16,2,9,8,0,20,11,8,5,37,14,26,378,82
ParisSaintGermain_5435,64,8,4,2,1,3,1,15,9,2,1,10,4,11,410,87
Lyon_5436,59,17,7,1,5,6,1,42,23,2,1,29,11,21,442,76
Caen_5436,42,17,13,3,7,4,2,52,25,8,3,54,8,17,329,70
Rennes_5436,44,17,13,5,5,4,3,19,10,2,3,20,11,24,369,80
Reims_5436,49,12,6,2,3,5,2,18,11,3,1,13,9,19,256,79
Lens_5436,42,14,5,1,2,1,0,45,24,12,2,42,5,22,350,71
SaintEtienne_5437,55,11,13,5,7,3,3,43,26,7,1,40,13,29,379,79
Toulouse_5437,56,18,7,1,4,5,2,56,25,5,2,35,12,29,461,73
Bordeaux_5437,42,15,12,4,5,7,1,40,15,9,3,42,15,17,281,73
EvianThononGaillard_5482,41,15,6,2,3,6,1,49,22,2,1,42,8,26,360,70
Nantes_5442,43,11,13,4,6,7,2,36,16,2,3,36,16,29,293,72
Nice_5443,41,12,9,4,4,5,2,15,5,1,1,52,10,17,368,82
Metz_5443,39,17,6,1,5,2,3,75,41,2,0,37,4,21,289,63
Montpellier_5443,45,11,8,4,2,6,0,28,13,7,2,24,11,24,366,71
Bastia_5443,46,10,7,3,4,3,1,25,16,2,0,26,2,26,415,78
Monaco_5443,57,9,9,3,6,7,2,25,14,2,0,19,3,23,544,88
Lorient_5443,50,7,15,9,6,4,0,33,15,2,0,18,9,35,407,69
Lille_5444,47,11,7,1,5,2,1,32,15,1,1,22,6,26,396,78
Guingamp_5444,48,8,12,5,5,5,1,22,10,1,2,45,7,23,368,70
Lyon_5444,58,13,12,3,6,6,0,33,12,2,3,26,14,28,481,79
Toulouse_5446,48,15,8,2,5,4,3,51,27,3,1,33,1,34,344,58
Marseille_5446,56,14,16,8,4,5,1,33,18,2,4,30,7,32,451,84
Lens_5446,51,19,14,3,6,2,2,34,16,3,5,36,6,23,398,78
EvianThononGaillard_5447,44,13,8,4,4,2,3,41,20,3,None,23,2,30,256,60
SaintEtienne_5447,47,22,9,6,2,3,2,30,14,3,1,28,2,30,347,69
Bordeaux_5447,57,15,13,1,8,3,2,34,16,4,4,18,3,21,491,79
Rennes_5447,40,16,4,2,2,0,1,29,15,2,0,27,3,27,355,75
Caen_5447,53,13,5,2,2,4,1,47,23,4,1,22,11,18,391,76
ParisSaintGermain_5447,60,16,15,8,6,7,1,20,11,5,1,27,11,23,539,85
Reims_5448,44,14,12,5,5,3,1,19,6,3,2,30,2,25,415,78
Monaco_5449,49,13,11,5,4,7,2,31,17,1,2,27,10,24,449,75
Nantes_5450,33,16,3,2,1,2,2,31,10,2,0,52,6,21,267,71
Nice_5450,59,14,18,10,5,None,None,30,15,3,3,25,6,38,432,76
Lorient_5450,38,6,15,4,6,None,None,31,13,8,5,30,10,16,340,72
Montpellier_5450,40,14,11,10,1,None,None,22,15,3,0,25,4,23,395,76
Bastia_5450,43,10,12,3,7,None,None,42,19,1,2,24,8,27,315,66
Lyon_5451,63,22,20,8,6,6,3,25,15,0,6,18,15,23,521,85
Guingamp_5451,37,21,7,5,2,3,3,16,8,3,0,24,10,23,254,67
Lille_5451,42,6,5,2,2,2,1,72,36,2,1,37,9,28,321,60
Metz_5451,43,9,14,5,6,5,1,37,21,4,3,55,6,23,300,64
Caen_5456,35,17,9,2,5,2,2,20,10,9,2,46,9,18,297,72
Bordeaux_5457,51,15,11,5,6,4,1,29,13,0,0,20,5,20,430,78
Lens_5457,53,30,16,7,9,3,2,63,29,2,0,29,8,28,354,62
Metz_5457,45,17,11,2,7,7,1,49,28,5,2,24,0,21,351,60
EvianThononGaillard_5457,44,16,9,5,2,3,3,26,12,2,2,26,9,23,334,76
Rennes_5457,46,6,5,1,2,2,2,25,11,4,2,21,13,19,340,70
SaintEtienne_5458,46,23,11,2,6,6,2,44,22,3,3,34,10,26,309,68
ParisSaintGermain_5458,71,12,15,3,8,5,3,24,14,1,4,21,18,23,636,87
Toulouse_5458,38,18,3,1,1,1,2,38,17,4,1,30,12,27,326,67
Marseille_5458,60,16,10,3,5,8,2,28,13,2,2,44,17,24,404,86
Nice_5463,52,13,5,1,4,4,2,40,17,3,0,33,13,18,403,78
Montpellier_5464,33,19,1,0,0,5,4,28,9,4,1,61,12,16,334,74
Bastia_5464,42,15,9,3,4,1,3,75,32,0,2,41,6,32,321,63
Guingamp_5464,44,12,10,3,7,5,0,30,16,4,0,28,6,29,302,68
Nantes_5464,45,11,14,7,4,4,None,39,19,9,3,28,18,25,382,77
Monaco_5464,48,16,10,3,4,4,1,27,12,7,3,20,9,38,365,74
Reims_5464,60,9,12,5,3,4,3,15,7,1,4,11,7,20,596,88
Lille_5465,47,9,10,2,7,1,1,26,14,1,1,44,5,27,261,72
EvianThononGaillard_5465,44,12,6,1,3,2,0,31,15,1,2,34,5,36,377,73
Lyon_5465,52,12,18,9,7,2,1,20,6,4,2,22,7,17,452,83
Marseille_5484,57,23,12,3,5,2,3,27,15,None,4,23,16,31,456,84
ParisSaintGermain_5485,62,11,10,4,5,0,1,48,31,0,1,31,12,27,604,84
Lorient_5485,47,11,5,1,3,1,0,24,7,6,1,30,9,21,467,76
SaintEtienne_5485,44,15,14,6,4,5,1,29,15,7,4,26,10,24,363,74
