,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Schalke_5414,47,10,11,5,2,4,2,42,18,5,4,28,15,19,382,70
FSVMainz_5415,60,16,14,3,9,8,3,45,25,5,2,14,10,34,396,80
Hannover96_5415,64,13,14,3,7,10,2,52,33,4,4,28,11,33,515,79
VfBStuttgart_5415,54,13,13,4,7,4,1,40,17,2,2,20,9,31,501,81
HamburgerSV_5415,49,22,2,1,0,1,6,36,13,2,1,24,2,15,156,57
BayernMunchen_5415,63,13,25,14,8,9,1,45,23,3,3,32,17,32,649,83
BorussiaMonchengladbach_5416,46,15,13,7,3,6,1,35,16,2,3,26,15,20,439,77
FCKoln_5416,61,3,7,2,3,5,1,26,11,2,2,31,5,16,496,86
SCPaderborn07_5416,52,11,16,5,8,6,0,48,28,3,3,27,6,19,327,67
HerthaBerlin_5421,44,24,7,1,5,4,3,81,27,3,1,22,9,32,318,63
BayerLeverkusen_5422,52,17,24,6,13,13,1,79,49,1,5,27,10,24,365,67
Augsburg_5422,51,14,11,4,5,3,2,47,24,3,2,24,5,24,305,70
TSGHoffenheim_5422,63,15,22,6,7,7,1,81,48,3,9,32,7,16,595,79
EintrachtFrankfurt_5422,37,21,6,2,3,4,2,39,22,5,1,52,9,16,299,66
SCFreiburg_5422,41,13,19,9,7,3,1,33,15,4,3,25,11,20,387,77
WerderBremen_5422,38,13,12,4,7,4,1,38,16,1,1,50,5,21,329,75
VfLWolfsburg_5423,53,12,13,5,4,2,2,60,34,2,4,20,17,30,478,78
BorussiaDortmund_5423,50,7,22,6,7,7,3,42,21,0,9,30,18,29,571,81
BayernMunchen_5436,64,15,14,7,5,8,1,24,14,5,2,22,16,26,508,80
Schalke_5436,39,9,5,4,1,2,1,48,24,0,0,17,9,9,292,72
BorussiaMonchengladbach_5436,55,9,9,3,5,8,3,26,14,10,1,24,12,24,488,83
FSVMainz_5436,64,5,7,1,4,9,0,15,8,1,2,16,5,7,282,85
Hannover96_5436,55,15,9,5,3,2,3,91,41,1,1,21,1,30,385,59
SCPaderborn07_5436,38,15,7,4,3,1,3,32,12,3,0,24,10,20,351,70
FCKoln_5436,62,9,7,2,2,3,0,33,14,4,3,16,8,18,432,83
HamburgerSV_5437,57,24,14,5,7,6,4,71,24,7,2,35,11,18,498,80
VfBStuttgart_5437,41,14,9,1,6,6,4,58,24,5,2,44,8,20,329,70
SCFreiburg_5442,58,12,17,6,5,9,2,23,10,5,6,15,24,31,527,85
Schalke_5443,42,16,14,9,1,2,2,58,25,9,4,37,17,18,374,72
BayerLeverkusen_5443,61,15,25,10,6,7,1,77,45,0,9,25,6,18,565,75
Augsburg_5443,51,13,13,8,4,4,1,60,35,2,1,31,2,30,398,65
HerthaBerlin_5443,25,17,4,1,3,2,1,39,15,4,0,43,13,12,251,59
WerderBremen_5443,50,18,24,13,5,9,2,70,29,4,6,42,8,26,419,75
TSGHoffenheim_5443,41,14,16,7,5,5,1,83,40,2,4,39,20,22,308,66
VfLWolfsburg_5444,43,13,23,12,5,9,0,46,26,2,6,42,14,22,396,74
EintrachtFrankfurt_5444,46,15,11,3,7,1,2,85,43,6,1,22,10,35,406,70
BorussiaDortmund_5449,53,20,19,6,6,8,2,80,51,1,7,38,18,26,511,71
BorussiaMonchengladbach_5450,54,17,13,10,2,4,1,39,19,1,1,29,11,14,568,86
Hannover96_5450,49,14,16,6,5,11,2,59,33,4,5,32,4,26,438,71
VfBStuttgart_5450,49,14,13,3,7,4,None,40,16,2,3,27,15,22,490,81
FCKoln_5450,38,10,12,4,4,5,0,51,21,2,4,25,12,19,338,70
SCPaderborn07_5450,64,15,24,8,14,6,2,58,36,1,2,29,19,22,548,81
BayernMunchen_5450,64,11,9,3,3,8,0,47,26,1,3,24,14,28,590,81
HamburgerSV_5451,42,19,18,8,6,6,1,88,38,3,4,36,9,25,280,56
EintrachtFrankfurt_5451,56,17,22,13,5,9,2,58,27,2,4,27,11,40,372,73
TSGHoffenheim_5456,47,16,20,8,9,4,3,63,36,5,3,34,20,25,393,70
HerthaBerlin_5457,32,9,5,3,2,2,2,41,20,5,0,48,14,23,279,67
WerderBremen_5457,47,19,19,7,6,10,3,69,31,4,6,28,6,25,368,67
SCFreiburg_5457,49,19,10,4,4,4,2,59,16,1,2,23,15,36,410,71
Schalke_5457,61,13,15,3,5,2,1,50,29,3,7,25,11,26,687,86
Augsburg_5457,32,17,6,3,2,1,None,29,9,5,1,30,4,13,268,66
FSVMainz_5457,56,19,22,6,6,4,2,66,33,1,10,31,15,27,500,76
BayerLeverkusen_5458,55,17,22,5,8,5,4,62,26,2,9,25,11,31,546,76
VfLWolfsburg_5458,68,15,21,8,8,11,4,53,25,2,5,22,22,44,665,83
BayernMunchen_5460,80,5,31,13,14,10,1,23,12,0,4,23,15,19,954,90
Hannover96_5460,51,18,10,3,3,8,0,46,20,5,4,32,10,17,499,73
HamburgerSV_5460,59,9,8,2,3,6,1,56,24,5,3,23,13,24,569,80
FCKoln_5460,54,11,8,0,5,9,2,55,22,1,3,22,12,13,429,77
SCPaderborn07_5461,50,9,21,4,12,5,0,79,43,6,5,40,14,20,387,71
EintrachtFrankfurt_5461,68,14,16,7,3,5,3,69,29,1,6,30,13,35,596,82
BorussiaDortmund_5461,38,12,17,6,8,4,1,50,27,2,3,38,12,22,354,71
BorussiaMonchengladbach_5461,57,13,9,6,1,2,1,28,15,3,2,27,9,19,628,88
TSGHoffenheim_5461,39,16,9,7,0,1,1,66,26,8,2,45,17,35,293,57
FSVMainz_5463,33,16,5,3,1,4,2,40,22,3,1,34,15,14,287,74
Augsburg_5464,48,15,18,6,7,4,3,39,22,6,5,28,7,24,503,85
WerderBremen_5464,34,12,12,3,6,2,None,35,18,4,3,29,16,29,298,65
