,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Getafe_5955,47,14,18,11,7,8,4,12,6,2,None,27,7,24,315,78
Villarreal_5955,41,17,8,3,1,3,4,34,14,2,4,24,4,35,375,72
CeltaVigo_5956,60,13,15,4,5,4,2,37,20,2,6,24,4,28,534,80
SportingGijon_5960,46,16,3,3,0,1,2,27,8,6,0,27,4,25,367,72
RealSociedad_5961,43,15,11,3,8,6,4,31,8,5,3,34,10,15,400,76
AtleticoMadrid_5961,43,14,14,7,7,5,1,39,18,3,3,31,7,25,304,62
RealBetis_5961,None,9,0,0,None,2,5,14,5,2,1,29,8,13,272,68
GranadaCF_5961,40,11,12,6,6,4,3,28,17,4,4,18,6,21,343,73
AthleticBilbao_5962,55,12,10,2,5,7,1,33,21,1,3,23,5,22,440,72
RCDEspanyol_5962,49,20,11,7,4,4,3,37,16,0,0,31,10,16,311,72
DeportivoLaCoruna_5962,52,7,15,5,5,8,3,29,14,3,5,40,8,26,409,75
Valencia_5962,57,15,7,1,4,9,1,17,10,1,2,22,13,18,557,88
Malaga_5963,55,18,21,11,9,13,2,43,23,4,1,22,8,29,442,74
Getafe_5969,50,15,19,9,7,7,3,20,14,2,3,22,12,41,380,79
Levante_5969,54,8,12,5,5,4,1,18,12,4,2,24,11,25,569,82
FCBarcelona_5969,71,14,13,7,4,8,2,14,7,1,2,19,10,14,578,88
RealMadrid_5969,52,10,15,8,4,5,1,12,6,6,3,42,9,18,518,85
CeltaVigo_5969,55,11,12,3,7,4,0,34,18,5,2,25,2,24,537,78
Sevilla_5969,51,18,12,6,3,5,4,23,14,2,3,29,9,24,468,80
Eibar_5969,53,15,21,10,5,8,1,24,13,2,6,26,2,34,532,77
LasPalmas_5969,61,9,4,2,2,2,1,20,10,3,0,24,7,21,631,86
RealSociedad_5969,39,7,12,6,4,5,2,46,25,4,2,27,8,15,332,66
