,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
HullCity_5485,52,2,4,1,4,2,0,3,2,5
WestHam_5485,41,1,2,0,8,0,1,12,2,5
AstonVilla_5485,59,0,2,3,7,2,4,10,0,2
ManchesterCity_5485,63,0,7,4,5,5,1,9,1,4
NewcastleUtd_5485,36,4,2,2,8,2,0,13,1,5
QPR_5485,51,2,4,2,5,3,0,21,1,5
Tottenham_5485,61,1,3,0,8,3,0,7,1,5
StokeCity_5486,45,1,2,1,7,0,1,14,3,6
Southampton_5486,43,0,2,0,5,2,0,9,0,5
Sunderland_5492,36,1,1,3,8,2,4,11,4,3
Chelsea_5492,53,6,6,4,6,0,2,9,0,5
ManchesterUnited_5492,66,3,1,2,5,3,1,13,2,2
StokeCity_5492,59,1,2,1,2,1,2,17,2,4
CrystalPalace_5492,52,2,2,1,4,4,1,12,0,12
Liverpool_5492,52,3,2,0,6,2,3,14,2,7
Southampton_5492,50,1,1,1,6,0,2,19,2,1
HullCity_5493,50,1,1,1,3,6,2,7,2,6
Arsenal_5493,35,1,1,0,5,1,0,11,0,3
WestBrom_5494,30,0,1,2,6,0,1,7,3,8
NewcastleUtd_5506,48,2,4,2,14,1,0,14,2,6
Tottenham_5506,65,2,1,1,5,0,1,4,3,6
Burnley_5506,49,1,4,2,10,0,2,13,0,5
QPR_5506,43,1,0,1,6,0,0,6,0,6
Leicester_5506,28,0,1,0,6,2,1,11,0,7
WestHam_5506,33,1,1,2,7,4,1,7,3,5
Everton_5506,49,1,2,1,3,0,0,8,2,5
ManchesterCity_5506,52,3,2,1,6,4,2,12,1,7
AstonVilla_5507,53,1,1,2,7,4,0,9,1,3
Swansea_5507,32,0,1,1,3,0,2,6,1,5
Arsenal_5513,37,1,1,2,7,0,2,6,3,4
Sunderland_5513,44,1,2,0,8,0,2,11,3,7
Southampton_5513,53,3,6,0,6,1,1,10,1,7
HullCity_5513,31,3,3,3,6,1,1,6,1,4
CrystalPalace_5513,41,0,5,2,8,3,2,9,3,3
Chelsea_5513,49,3,1,0,7,4,2,6,0,3
Liverpool_5513,57,3,2,0,10,3,0,5,0,3
WestBrom_5514,45,2,2,1,8,2,1,14,1,5
StokeCity_5514,60,1,1,0,7,3,0,22,2,9
ManchesterUnited_5514,52,2,0,1,5,5,1,10,3,8
QPR_5516,54,3,6,4,5,3,1,14,1,8
AstonVilla_5516,62,1,4,0,11,1,0,12,1,5
Leicester_5516,48,0,3,2,5,4,0,5,4,7
Tottenham_5516,51,2,2,3,6,3,1,9,3,8
ManchesterCity_5517,53,2,3,3,4,1,3,12,4,5
WestHam_5517,39,1,0,2,7,1,0,15,2,8
Burnley_5517,44,2,6,2,8,5,0,14,1,3
Everton_5517,51,2,1,0,6,1,0,11,2,5
Swansea_5517,64,1,2,0,5,3,1,8,1,7
NewcastleUtd_5517,46,1,1,1,5,1,0,9,1,7
ManchesterUnited_5527,59,2,5,0,3,1,0,7,2,7
WestBrom_5527,39,1,2,1,8,1,1,19,1,5
QPR_5527,55,2,0,1,11,5,3,14,2,8
Arsenal_5527,53,3,2,1,8,1,2,20,0,8
Burnley_5527,37,2,2,0,6,3,2,14,2,5
StokeCity_5527,48,3,0,2,6,2,3,15,0,8
NewcastleUtd_5527,40,0,5,2,7,1,0,13,1,5
WestHam_5528,36,2,3,2,1,5,4,17,2,7
Leicester_5528,46,1,3,3,3,1,1,16,1,3
Liverpool_5528,41,1,0,0,6,0,0,13,3,6
CrystalPalace_5534,39,3,2,3,6,5,2,10,0,13
Southampton_5534,61,0,6,1,5,1,0,11,2,9
HullCity_5534,47,0,1,6,3,0,0,12,1,2
AstonVilla_5534,46,2,2,1,3,3,2,16,0,6
Sunderland_5534,29,3,2,4,1,1,2,8,2,7
Swansea_5534,56,1,3,0,8,2,1,21,2,3
ManchesterCity_5535,57,1,3,0,6,0,5,14,3,4
Everton_5535,55,0,1,3,8,0,0,16,1,1
CrystalPalace_5537,32,0,1,0,4,1,0,15,1,6
Sunderland_5537,56,0,2,0,6,0,0,13,1,8
WestBrom_5537,45,0,0,1,9,1,1,12,3,6
Chelsea_5538,61,1,2,1,9,4,0,10,2,4
Swansea_5538,40,1,2,0,9,0,4,6,3,3
Everton_5538,55,3,0,2,3,4,0,21,1,8
Arsenal_5538,58,3,1,4,7,3,1,13,2,4
ManchesterUnited_5538,69,1,3,1,3,1,2,15,0,7
Leicester_5538,28,1,0,1,7,1,0,8,3,1
Burnley_5538,34,1,2,1,5,2,0,15,3,8
Tottenham_5541,66,3,1,0,8,4,2,22,3,5
QPR_5548,49,0,3,0,12,0,0,18,0,9
StokeCity_5548,52,0,2,1,7,1,2,15,2,5
AstonVilla_5548,57,6,2,2,7,3,0,17,0,5
HullCity_5548,47,2,4,1,4,2,0,11,1,8
WestHam_5548,26,1,1,1,4,2,2,14,5,5
ManchesterCity_5548,69,2,2,3,4,4,0,15,1,2
Southampton_5549,44,4,2,1,5,2,2,10,0,5
Tottenham_5549,43,0,0,0,11,1,2,13,0,5
